water_content_percent,wavelength_nm,median_reflectance,std_reflectance
0,312.407,26.769063,3.64707125114281
0,312.861,26.991102,3.33811617638236
0,313.315,27.0340424,3.02092161944534
0,313.769,27.0694032,3.2384241323633
0,314.223,26.9727434,3.04156524188751
0,314.677,26.9628124,3.12159660099012
0,315.131,26.7000362,3.29396873767298
0,315.584,26.8328736,2.93935035057767
0,316.038,26.7370002,2.21603245860727
0,316.491,26.8551228,1.87345214303333
0,316.945,26.8345236,2.01594821000318
0,317.399,26.926888,1.77964845713832
0,317.852,26.8346694,1.82494785159101
0,318.305,26.7378714,2.35587688422002
0,318.759,26.934986,2.38570403648734
0,319.212,26.7605696,2.31451898874497
0,319.665,26.8427802,2.62343199670107
0,320.118,27.0975482,3.01855041992539
0,320.572,27.5471788,2.82620351096247
0,321.025,26.9503148,2.46060670922587
0,321.478,26.9149392,2.67550045431814
0,321.931,26.8098392,2.58191737365466
0,322.384,26.763108,2.94446820445642
0,322.837,26.3932714,2.95068750321274
0,323.289,26.7091388,2.95303392814532
0,323.742,26.8651534,2.51657570087972
0,324.195,26.9508358,2.63068542991612
0,324.648,26.9142276,2.29139063336469
0,325.1,27.0995358,2.62136297914588
0,325.553,27.0548076,2.69761731684096
0,326.005,27.3590696,2.33555447213313
0,326.458,27.1351284,2.33163499098625
0,326.91,27.1969262,2.0189690264528
0,327.362,27.186084,1.84583448985861
0,327.815,27.1216896,1.99551329452716
0,328.267,26.652432,2.53978784127431
0,328.719,27.0621372,2.69477951229049
0,329.171,26.7704312,3.03124599945959
0,329.624,26.7306224,2.93262072695346
0,330.076,26.4850056,2.73367734077382
0,330.528,26.7890432,2.41056871432825
0,330.98,26.686967,2.06980906538231
0,331.431,26.905865,1.71472658199551
0,331.883,27.0925242,1.42906842039217
0,332.335,27.4166898,1.48964616629902
0,332.787,27.0838368,1.36625506118607
0,333.238,26.9611712,1.5019329227249
0,333.69,26.8844916,1.70962997332143
0,334.142,26.6374876,2.10921061914913
0,334.593,26.667625,1.83444717780197
0,335.045,26.4343122,2.05748786253425
0,335.496,26.3107746,2.17635565763389
0,335.948,26.1517248,1.78809686827659
0,336.399,26.3978498,1.92051070557427
0,336.85,26.2852844,1.98647141827418
0,337.301,26.600087,1.90826357353768
0,337.753,26.538461,1.90779316669444
0,338.204,26.5069094,2.23056273988235
0,338.655,26.017815,1.83820595646766
0,339.106,25.6312152,1.59007226370104
0,339.557,25.1077988,1.89571426537318
0,340.008,25.0181446,1.59715406735701
0,340.458,24.930999,1.3452476267571
0,340.909,25.1701318,1.54038983936696
0,341.36,25.3931814,1.53155195189763
0,341.811,25.497775,1.36446487315592
0,342.261,25.7710142,1.46528490088602
0,342.712,25.91188,1.66246766350928
0,343.162,25.890402,2.0259905842105
0,343.613,26.0546888,1.9678925100114
0,344.063,26.2142028,1.80552302138737
0,344.514,25.9520272,2.09076710564524
0,344.964,25.6442812,2.03763589275409
0,345.414,25.6573248,2.00437658256161
0,345.865,25.4176678,2.43553808952736
0,346.315,25.5910392,2.55054841891695
0,346.765,25.3052194,2.40476581397945
0,347.215,25.0104756,2.33511802225135
0,347.665,24.8076484,2.36402627634386
0,348.115,24.881955,2.22583934920263
0,348.565,24.7708834,2.51527747087423
0,349.015,25.023711,2.57623055526845
0,349.465,25.2619798,2.66419687197537
0,349.914,25.3902574,2.39029937331545
0,350.364,25.1786582,2.13376121998722
0,350.814,24.9780498,1.98517388050109
0,351.263,24.8214222,2.18325892447006
0,351.713,25.1132592,2.04177242727121
0,352.162,25.0069048,2.365596828975
0,352.612,25.1371894,2.40661819322256
0,353.061,25.2525732,2.29029845018682
0,353.51,25.0225908,1.92913409197685
0,353.96,24.4952566,1.95913774363965
0,354.409,24.2575542,1.61925619070219
0,354.858,24.085301,1.85680794308297
0,355.307,24.0560226,1.90516843912108
0,355.756,24.0652626,1.94873405445695
0,356.205,24.208402,2.01402570150006
0,356.654,24.399615,2.06685822135656
0,357.103,24.1456096,2.05328998263972
0,357.552,23.6103556,2.14055552005825
0,358.001,23.4835764,2.17805585978768
0,358.45,23.5450112,2.01209685084932
0,358.898,23.4672822,1.77157688909078
0,359.347,23.3914602,1.72771878496397
0,359.796,23.394832,1.56262052312991
0,360.244,23.5706962,1.50397408172141
0,360.693,23.6969716,1.83818764271013
0,361.141,23.426301,1.96886118372688
0,361.59,23.7265444,2.1538879871317
0,362.038,23.9233032,2.09804600277739
0,362.486,23.808991,2.02186868593062
0,362.934,23.6639366,1.79531873887247
0,363.383,23.6919014,1.91452886291835
0,363.831,23.3652652,1.71447119524714
0,364.279,23.2460204,1.90381305130715
0,364.727,23.3346034,1.91734108396348
0,365.175,23.0513274,2.05587363671541
0,365.623,23.2266014,2.00650415102731
0,366.07,23.129695,2.19111590074364
0,366.518,22.9821682,2.31335847022128
0,366.966,22.9019998,2.21777869756704
0,367.414,23.035143,2.18670781700492
0,367.861,22.6323536,2.27683938062654
0,368.309,22.3899426,2.20067150774382
0,368.757,22.3432496,1.98256985388738
0,369.204,21.9400964,2.10398464659822
0,369.651,21.7812202,2.14831665621811
0,370.099,21.8295638,1.96330757376346
0,370.546,22.0330532,1.86791942075181
0,370.993,21.974141,1.9277051995038
0,371.441,22.139089,2.12952056080095
0,371.888,21.737032,2.18416841522278
0,372.335,21.7672872,2.40247759496229
0,372.782,21.6301328,2.3973962297926
0,373.229,21.5340142,2.21801685155144
0,373.676,21.5902138,1.94911509111283
0,374.123,21.828039,1.7702956914901
0,374.57,21.6312782,1.52835534390526
0,375.017,21.7361094,1.61048612618099
0,375.463,21.8276076,1.78324051415131
0,375.91,21.6564762,1.93546369695145
0,376.357,21.4961586,2.0582858535515
0,376.803,21.461681,2.11083228929965
0,377.25,21.338028,2.09683836590492
0,377.696,21.0852862,2.01580794442748
0,378.143,20.9382416,2.05164018321611
0,378.589,21.0905054,1.79764991202988
0,379.035,20.9483586,1.93776554806247
0,379.482,20.9194458,1.76814215104854
0,379.928,20.7853122,1.80148330106159
0,380.374,20.7871926,1.80918020717867
0,380.82,20.484058,1.9421983163601
0,381.266,20.370813,1.92378492784542
0,381.712,20.2591786,1.93069490157959
0,382.158,20.4236582,1.79752614808335
0,382.604,20.4135434,1.94383688999449
0,383.05,20.5230184,1.80241951519602
