water_content_percent,replicate,wavelength_nm,reflectance
0,8,218.267,30.490347
0,1,218.732,30.485923
0,2,218.732,29.769894
0,3,218.732,27.644432
0,4,218.732,26.600705
0,5,218.732,22.73959
0,6,218.732,27.644432
0,7,218.732,22.73959
0,8,218.732,30.485923
0,1,219.196,29.855412
0,2,219.196,29.075557
0,3,219.196,27.735478
0,4,219.196,26.387362
0,5,219.196,22.629245
0,6,219.196,27.735478
0,7,219.196,22.629245
0,8,219.196,29.855412
0,1,219.66,29.436721
0,2,219.66,28.778897
0,3,219.66,27.108004
0,4,219.66,26.27325
0,5,219.66,23.122248
0,6,219.66,27.108004
0,7,219.66,23.122248
0,8,219.66,29.436721
0,1,220.124,29.553056
0,2,220.124,28.937224
0,3,220.124,27.203166
0,4,220.124,25.626299
0,5,220.124,23.227403
0,6,220.124,27.203166
0,7,220.124,23.227403
0,8,220.124,29.553056
0,1,220.588,29.561838
0,2,220.588,29.169827
0,3,220.588,27.440948
0,4,220.588,25.517792
0,5,220.588,23.234618
0,6,220.588,27.440948
0,7,220.588,23.234618
0,8,220.588,29.561838
0,1,221.052,30.364775
0,2,221.052,29.413204
0,3,221.052,26.84979
0,4,221.052,25.187554
0,5,221.052,23.259875
0,6,221.052,26.84979
0,7,221.052,23.259875
0,8,221.052,30.364775
0,1,221.516,31.163361
0,2,221.516,29.726921
0,3,221.516,26.499256
0,4,221.516,25.518422
0,5,221.516,23.526688
0,6,221.516,26.499256
0,7,221.516,23.526688
0,8,221.516,31.163361
0,1,221.98,31.773451
0,2,221.98,30.327536
0,3,221.98,27.097799
0,4,221.98,26.11434
0,5,221.98,23.611397
0,6,221.98,27.097799
0,7,221.98,23.611397
0,8,221.98,31.773451
0,1,222.444,31.540219
0,2,222.444,29.820443
0,3,222.444,27.166862
0,4,222.444,26.48125
0,5,222.444,23.362942
0,6,222.444,27.166862
0,7,222.444,23.362942
0,8,222.444,31.540219
0,1,222.908,31.324798
0,2,222.908,29.572332
0,3,222.908,26.45102
0,4,222.908,27.171153
0,5,222.908,23.40138
0,6,222.908,27.171153
0,7,222.908,23.40138
0,8,222.908,31.324798
0,1,223.372,30.503035
0,2,223.372,29.438511
0,3,223.372,26.661122
0,4,223.372,27.496898
0,5,223.372,23.075415
0,6,223.372,27.496898
0,7,223.372,23.075415
0,8,223.372,30.503035
0,1,223.836,30.37907
0,2,223.836,29.15382
0,3,223.836,26.569138
0,4,223.836,27.069097
0,5,223.836,22.707748
0,6,223.836,27.069097
0,7,223.836,22.707748
0,8,223.836,30.37907
0,1,224.299,30.290596
0,2,224.299,28.63144
0,3,224.299,26.81981
0,4,224.299,27.067821
0,5,224.299,23.441341
0,6,224.299,27.067821
0,7,224.299,23.441341
0,8,224.299,30.290596
0,1,224.763,30.254283
0,2,224.763,28.754958
0,3,224.763,26.682949
0,4,224.763,26.820531
0,5,224.763,23.374016
0,6,224.763,26.820531
0,7,224.763,23.374016
0,8,224.763,30.254283
0,1,225.227,30.540055
0,2,225.227,28.888005
0,3,225.227,27.68463
0,4,225.227,27.035253
0,5,225.227,22.992306
0,6,225.227,27.68463
0,7,225.227,22.992306
0,8,225.227,30.540055
0,1,225.69,31.241288
0,2,225.69,29.470627
0,3,225.69,27.433372
0,4,225.69,26.79727
0,5,225.69,22.38887
0,6,225.69,27.433372
0,7,225.69,22.38887
0,8,225.69,31.241288
0,1,226.154,30.873252
0,2,226.154,29.36975
0,3,226.154,27.72635
0,4,226.154,26.893108
0,5,226.154,22.795483
0,6,226.154,27.72635
0,7,226.154,22.795483
0,8,226.154,30.873252
0,1,226.617,30.216654
0,2,226.617,28.714963
0,3,226.617,27.959584
0,4,226.617,27.831077
0,5,226.617,22.034048
0,6,226.617,27.959584
0,7,226.617,22.034048
0,8,226.617,30.216654
0,1,227.08,30.424028
0,2,227.08,28.424571
0,3,227.08,28.426251
0,4,227.08,28.271775
0,5,227.08,22.027046
0,6,227.08,28.424571
0,7,227.08,22.027046
0,8,227.08,30.424028
0,1,227.544,30.318098
0,2,227.544,28.329088
0,3,227.544,27.974583
0,4,227.544,27.51063
0,5,227.544,22.085891
0,6,227.544,27.974583
0,7,227.544,22.085891
0,8,227.544,30.318098
0,1,228.007,30.027562
0,2,228.007,28.230709
0,3,228.007,28.377123
0,4,228.007,27.167546
0,5,228.007,22.806444
0,6,228.007,28.230709
0,7,228.007,22.806444
0,8,228.007,30.027562
0,1,228.47,30.279136
0,2,228.47,28.875998
0,3,228.47,28.126771
0,4,228.47,27.380508
0,5,228.47,22.592653
0,6,228.47,28.126771
0,7,228.47,22.592653
0,8,228.47,30.279136
0,1,228.934,30.398163
0,2,228.934,29.427875
0,3,228.934,27.608992
0,4,228.934,26.667415
0,5,228.934,22.520126
0,6,228.934,27.608992
0,7,228.934,22.520126
0,8,228.934,30.398163
0,1,229.397,30.201569
0,2,229.397,29.744358
0,3,229.397,27.129681
0,4,229.397,26.165691
0,5,229.397,22.411408
0,6,229.397,27.129681
0,7,229.397,22.411408
0,8,229.397,30.201569
0,1,229.86,30.306691
0,2,229.86,29.680146
0,3,229.86,27.311369
0,4,229.86,26.4429
0,5,229.86,22.688352
0,6,229.86,27.311369
0,7,229.86,22.688352
0,8,229.86,30.306691
0,1,230.323,30.606407
0,2,230.323,30.062893
0,3,230.323,26.869734
0,4,230.323,26.759764
0,5,230.323,22.870284
0,6,230.323,26.869734
0,7,230.323,22.870284
0,8,230.323,30.606407
0,1,230.786,30.110033
0,2,230.786,29.233645
0,3,230.786,26.727142
0,4,230.786,26.615179
0,5,230.786,22.820698
0,6,230.786,26.727142
0,7,230.786,22.820698
0,8,230.786,30.110033
0,1,231.249,30.510373
0,2,231.249,28.778739
0,3,231.249,26.624358
0,4,231.249,26.501878
0,5,231.249,23.080044
0,6,231.249,26.624358
0,7,231.249,23.080044
0,8,231.249,30.510373
0,1,231.712,30.118511
0,2,231.712,28.604885
0,3,231.712,26.976575
0,4,231.712,26.614291
0,5,231.712,23.965036
0,6,231.712,26.976575
0,7,231.712,23.965036
0,8,231.712,30.118511
0,1,232.175,29.680799
0,2,232.175,28.850504
0,3,232.175,27.395932
0,4,232.175,26.632663
0,5,232.175,23.870394
0,6,232.175,27.395932
0,7,232.175,23.870394
0,8,232.175,29.680799
0,1,232.637,29.154133
0,2,232.637,28.388077
0,3,232.637,27.857067
0,4,232.637,26.543368
0,5,232.637,23.725807
0,6,232.637,27.857067
0,7,232.637,23.725807
0,8,232.637,29.154133
0,1,233.1,29.702596
0,2,233.1,28.506658
0,3,233.1,27.973973
0,4,233.1,26.735153
0,5,233.1,23.705122
0,6,233.1,27.973973
0,7,233.1,23.705122
0,8,233.1,29.702596
0,1,233.563,29.751237
0,2,233.563,28.496428
0,3,233.563,28.087675
0,4,233.563,26.264754
0,5,233.563,23.557947
0,6,233.563,28.087675
0,7,233.563,23.557947
0,8,233.563,29.751237
0,1,234.026,29.638852
0,2,234.026,28.43272
0,3,234.026,28.054923
0,4,234.026,26.519217
0,5,234.026,23.085908
0,6,234.026,28.054923
0,7,234.026,23.085908
0,8,234.026,29.638852
0,1,234.488,30.042856
0,2,234.488,27.929051
0,3,234.488,27.296219
0,4,234.488,26.30031
0,5,234.488,23.624001
0,6,234.488,27.296219
0,7,234.488,23.624001
0,8,234.488,30.042856
0,1,234.951,30.286538
0,2,234.951,28.097737
0,3,234.951,27.312754
0,4,234.951,26.14346
0,5,234.951,23.467351
0,6,234.951,27.312754
0,7,234.951,23.467351
0,8,234.951,30.286538
0,1,235.413,30.007741
0,2,235.413,27.708707
0,3,235.413,27.345973
0,4,235.413,26.090086
0,5,235.413,23.884988
0,6,235.413,27.345973
0,7,235.413,23.884988
0,8,235.413,30.007741
0,1,235.876,29.588746
0,2,235.876,28.332755
0,3,235.876,27.661993
0,4,235.876,26.968179
0,5,235.876,23.576852
0,6,235.876,27.661993
0,7,235.876,23.576852
0,8,235.876,29.588746
0,1,236.338,29.871148
0,2,236.338,28.299297
0,3,236.338,27.504408
0,4,236.338,26.801104
0,5,236.338,23.787536
0,6,236.338,27.504408
0,7,236.338,23.787536
0,8,236.338,29.871148
0,1,236.8,29.927536
0,2,236.8,28.105481
0,3,236.8,28.09105
0,4,236.8,27.467819
0,5,236.8,22.960998
0,6,236.8,28.09105
0,7,236.8,22.960998
0,8,236.8,29.927536
0,1,237.263,30.003332
0,2,237.263,27.997557
0,3,237.263,27.930692
0,4,237.263,27.977499
0,5,237.263,22.970904
0,6,237.263,27.977499
0,7,237.263,22.970904
0,8,237.263,30.003332
0,1,237.725,29.982342
0,2,237.725,28.293411
0,3,237.725,28.228307
0,4,237.725,28.253617
0,5,237.725,22.898192
0,6,237.725,28.253617
0,7,237.725,22.898192
0,8,237.725,29.982342
0,1,238.187,30.126284
0,2,238.187,28.152402
0,3,238.187,28.262116
0,4,238.187,28.315459
0,5,238.187,22.968132
0,6,238.187,28.262116
0,7,238.187,22.968132
0,8,238.187,30.126284
0,1,238.649,30.450111
0,2,238.649,28.535645
0,3,238.649,28.459784
0,4,238.649,28.613867
